name,data
c001,51
c002,22
c003,0
c011,42
c012,1
c013,2
c014,5399
c021,16
c022,24
c023,0
c024,6
c025,19
c026,329
c027,352
c028,23
c029,10
c031,27
c032,58
c033,84
c041,2
c042,2
c043,36
c044,45
c045,974
c046,264
c047,824
c048,108
c049,1
c050,110
c061,189
c062,876
c071,3098
c072,222
c073,1703
c074,3694
c075,296
c076,369
c077,813
c078,1294
c079,1366
c080,179
c081,835
c082,351
c083,0
c084,1713
c085,1238
c101,5
c102,2
c103,3
c104,0
c105,0
c106,0
c107,2
c108,2
c111,8
c112,6
c113,5
c114,0
c115,10
c116,0
c117,0
c118,2
c119,3
c120,1
c121,11
c122,2
c123,1
c124,0
c125,12
c126,3
c127,0
c128,0
c129,0
c130,0
c131,16
c132,1
c133,185
c134,19
c135,1
c136,39
c137,2315
c138,179
c139,10
c140,0
c141,2
c142,53
c144,469
c146,0
c147,23
c151,2
c152,0
c153,25
c154,27
c155,10
c156,0
c157,1
c158,4
c159,0
c161,139
c162,292
c163,15081
c164,2154
c165,1
c166,5
c171,2
c172,0
c173,1
c174,0
c175,0
c176,0
c181,8
c182,42
c183,5
c184,7
c185,7
c186,1
c187,0
c188,4
c191,2125
c192,971
c193,1897
c194,1155
c195,519
c196,768
c197,633
c198,902
c199,94
c200,6
c201,108
c202,269
c203,36
c204,175
c205,7
c206,25
c211,59
c212,300
c213,21
c214,23
c215,13
c216,3
c217,3
c218,2
c219,371
c220,13
c221,301
c222,13
c223,0
c231,0
c232,548
c233,4
c234,7
c235,28
c236,0
c251,6
c252,1169
c261,339
c262,88
c263,44
c271,11
c272,0
c301,58
c601,12
c602,16
c603,7
c604,14
c605,10
c606,64
c607,19
c608,16
c609,9
c610,142
c611,0
c612,17
c614,6
c615,4
c616,17
c617,0
c619,0
c620,0
c621,0
c625,0
c631,9
c632,3
c633,3
c634,11
c635,3
c636,76
c637,31
c639,61
c642,19
c671,319
c674,0
c681,14508
c691,0
c693,0
c694,14
c697,4
c699,0
c704,7
c705,18
c706,0
c710,0
c711,30
c713,0
c725,0
c731,64
c741,19
c742,35
c744,163
c745,0
c751,1
c752,0
c765,0
c817,0
c818,7
c819,15
c820,0
c871,0
c899,15
