name,data
c001,37
c002,11
c003,0
c011,32
c012,2
c013,0
c021,24
c022,22
c023,0
c024,15
c025,19
c026,335
c027,226
c028,21
c029,3
c031,28
c032,53
c033,59
c041,2
c042,5
c043,35
c044,31
c046,268
c048,128
c049,0
c050,111
c061,229
c062,808
c072,107
c075,368
c076,522
c080,242
c081,730
c082,419
c083,0
c101,6
c102,0
c103,2
c104,1
c105,0
c106,0
c107,0
c108,1
c111,6
c112,2
c113,1
c114,0
c115,8
c116,0
c117,0
c118,0
c119,2
c120,2
c121,9
c122,1
c123,0
c124,1
c125,8
c126,1
c127,0
c128,2
c129,0
c130,0
c131,23
c132,2
c133,132
c134,12
c135,5
c136,26
c138,170
c139,7
c140,0
c141,6
c142,70
c144,405
c146,0
c147,8
c151,0
c152,3
c153,2
c154,13
c155,17
c156,2
c157,3
c158,4
c159,0
c161,108
c162,293
c165,1
c166,0
c171,6
c172,3
c173,0
c174,0
c175,0
c176,0
c181,9
c182,51
c183,1
c184,4
c185,8
c186,0
c187,1
c188,4
c195,529
c197,667
c198,811
c199,97
c200,3
c201,91
c202,294
c203,17
c204,168
c205,0
c206,20
c211,51
c212,292
c213,28
c214,34
c215,11
c216,0
c217,1
c218,0
c219,360
c220,4
c221,376
c222,15
c223,0
c231,0
c232,498
c233,3
c234,3
c235,12
c236,0
c251,2
c261,334
c262,76
c263,41
c271,3
c272,0
c301,29
c601,5
c602,11
c603,0
c604,8
c605,7
c606,59
c607,19
c608,19
c609,4
c610,242
c611,0
c612,14
c614,3
c615,5
c616,13
c617,0
c619,0
c620,0
c621,0
c625,0
c631,13
c632,13
c633,3
c634,9
c635,3
c636,40
c637,16
c639,77
c642,22
c671,275
c674,0
c691,0
c693,0
c694,6
c697,4
c699,0
c704,5
c705,17
c706,0
c710,0
c711,17
c713,0
c725,0
c731,35
c741,24
c742,20
c744,133
c745,0
c751,0
c752,0
c765,0
c817,0
c818,8
c819,13
c820,0
c871,0
c899,11
