name,data
c001,44
c002,20
c003,1
c011,62
c012,0
c013,1
c014,5389
c021,20
c022,25
c023,0
c024,23
c025,17
c026,313
c027,280
c028,10
c029,7
c031,31
c032,59
c033,56
c041,1
c042,2
c043,22
c044,16
c045,923
c046,330
c047,1219
c048,117
c049,0
c050,109
c061,221
c062,729
c071,2852
c072,22
c073,1235
c074,3577
c075,600
c076,374
c077,1152
c078,1761
c079,1666
c080,277
c081,892
c082,683
c083,2
c084,1814
c085,1499
c101,2
c102,1
c103,1
c104,0
c105,0
c106,0
c107,3
c108,1
c111,7
c112,2
c113,4
c114,0
c115,1
c116,0
c117,0
c118,1
c119,1
c120,3
c121,8
c122,1
c123,0
c124,2
c125,3
c126,0
c127,3
c128,1
c129,0
c130,0
c131,12
c132,2
c133,25
c134,15
c135,3
c136,6
c137,1719
c138,150
c139,6
c140,0
c141,3
c142,71
c144,277
c146,0
c147,7
c151,0
c152,0
c153,0
c154,24
c155,7
c156,4
c157,2
c158,0
c159,0
c161,114
c162,250
c163,11425
c164,2167
c165,3
c166,0
c171,4
c172,2
c173,1
c174,0
c175,1
c176,0
c181,6
c182,13
c183,1
c184,2
c185,3
c186,2
c187,0
c188,2
c191,1556
c192,936
c193,1479
c194,1074
c195,563
c196,603
c197,569
c198,628
c199,82
c200,7
c201,99
c202,257
c203,23
c204,94
c205,1
c206,11
c211,24
c212,313
c213,14
c214,15
c215,14
c216,2
c217,2
c218,0
c219,292
c220,0
c221,321
c222,26
c223,0
c231,0
c232,353
c233,6
c234,2
c235,20
c236,0
c251,5
c252,956
c261,814
c262,86
c263,159
c271,12
c272,0
c301,55
c601,5
c602,6
c603,2
c604,21
c605,9
c606,46
c607,27
c608,26
c609,4
c610,97
c611,0
c612,18
c614,3
c615,4
c616,18
c617,0
c619,6
c620,0
c621,0
c625,0
c631,10
c632,2
c633,1
c634,10
c635,3
c636,12
c637,16
c639,105
c642,16
c671,72
c674,0
c681,13736
c691,0
c693,0
c694,5
c697,5
c699,0
c704,3
c705,28
c706,0
c710,0
c711,21
c713,0
c725,0
c731,45
c741,24
c742,25
c744,132
c745,0
c751,0
c752,0
c765,0
c817,0
c818,0
c819,27
c820,0
c871,0
c899,15
