name,data
c001,46
c002,19
c003,1
c011,52
c012,0
c013,0
c014,6000
c021,22
c022,13
c023,0
c024,23
c025,19
c026,249
c027,206
c028,9
c029,0
c031,26
c032,51
c033,52
c041,2
c042,4
c043,19
c044,18
c045,957
c046,294
c047,1182
c048,113
c049,0
c050,114
c061,248
c062,688
c071,2515
c072,21
c073,935
c074,3474
c075,738
c076,453
c077,1245
c078,1752
c079,1765
c080,244
c081,941
c082,1256
c083,1
c084,1925
c085,1671
c101,1
c102,1
c103,3
c104,0
c105,0
c106,0
c107,2
c108,0
c111,6
c112,2
c113,0
c114,0
c115,3
c116,1
c117,0
c118,6
c119,9
c120,1
c121,7
c122,1
c123,0
c124,3
c125,2
c126,0
c127,2
c128,1
c129,0
c130,0
c131,23
c132,1
c133,19
c134,5
c135,3
c136,13
c137,1554
c138,120
c139,7
c140,1
c141,0
c142,72
c144,286
c146,0
c147,5
c151,2
c152,1
c153,0
c154,16
c155,5
c156,8
c157,3
c158,1
c159,0
c161,118
c162,255
c163,11120
c164,2923
c165,2
c166,0
c171,2
c172,4
c173,0
c174,0
c175,1
c176,0
c181,2
c182,15
c183,2
c184,1
c185,2
c186,1
c187,2
c188,15
c191,1329
c192,944
c193,1421
c194,936
c195,544
c196,615
c197,544
c198,561
c199,73
c200,9
c201,95
c202,253
c203,24
c204,131
c205,2
c206,10
c211,28
c212,282
c213,20
c214,23
c215,19
c216,6
c217,0
c218,0
c219,359
c220,0
c221,288
c222,41
c223,0
c231,0
c232,410
c233,3
c234,3
c235,28
c236,0
c251,15
c252,979
c261,1176
c262,97
c263,309
c271,5
c272,0
c301,43
c601,7
c602,20
c603,2
c604,18
c605,9
c606,40
c607,17
c608,23
c609,7
c610,118
c611,0
c612,14
c614,4
c615,4
c616,25
c617,0
c619,6
c620,0
c621,0
c625,0
c631,9
c632,7
c633,2
c634,13
c635,5
c636,12
c637,31
c639,248
c642,19
c671,68
c674,0
c681,13710
c691,0
c693,0
c694,10
c697,8
c699,0
c704,4
c705,29
c706,0
c710,0
c711,29
c713,0
c725,0
c731,38
c741,35
c742,16
c744,147
c745,0
c751,0
c752,0
c765,0
c817,0
c818,6
c819,14
c820,0
c871,0
c899,13
